id,label,category,hot_technology,in_demand,source,occurrences,occupations
24sevenoffice_project,24SevenOffice Project,Project management software,false,false,O*NET Technology Skills 30.2,1,Information Technology Project Managers
2ab_ilock_security_services,2AB iLock Security Services,Access software,false,false,O*NET Technology Skills 30.2,1,Telecommunications Engineering Specialists
3d_graphic_design,3D graphic design,Graphics or photo imaging software,false,false,O*NET Technology Skills 30.2,1,Video Game Designers
3d_graphics,3D graphics,Graphics or photo imaging software,false,false,O*NET Technology Skills 30.2,1,Computer and Information Research Scientists
3m_post_it_app,3M Post-it App,Word processing software,false,false,O*NET Technology Skills 30.2,10,Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Database Architects; Information Security Analysts; Information Technology Project Managers; Software Developers; Software Quality Assurance Analysts and Testers; Web Developers; Web and Digital Interface Designers
a_programming_language_apl,A programming language APL,Development environment software,false,false,O*NET Technology Skills 30.2,3,Computer Programmers; Software Developers; Software Quality Assurance Analysts and Testers
ab_initio,Ab Initio,Enterprise resource planning ERP software,false,false,O*NET Technology Skills 30.2,2,Database Administrators; Database Architects
abc_compiler,ABC Compiler,Development environment software,false,false,O*NET Technology Skills 30.2,3,Computer Programmers; Software Developers; Software Quality Assurance Analysts and Testers
abc_the_aspectbench_compiler_for_aspectj,ABC: the AspectBench Compiler for AspectJ,Object or component oriented development software,false,false,O*NET Technology Skills 30.2,3,Computer Programmers; Software Developers; Software Quality Assurance Analysts and Testers
access_management,Access management,Access software,false,false,O*NET Technology Skills 30.2,7,Computer Network Architects; Computer Systems Analysts; Database Administrators; Database Architects; Information Security Analysts; Network and Computer Systems Administrators; Telecommunications Engineering Specialists
accessdata_ftk,AccessData FTK,Network monitoring software,false,false,O*NET Technology Skills 30.2,2,Digital Forensics Analysts; Information Security Analysts
acmestudio,AcmeStudio,Requirements analysis and system architecture software,false,false,O*NET Technology Skills 30.2,1,Computer Systems Analysts
acresso_installanywhere,Acresso InstallAnywhere,Object or component oriented development software,false,false,O*NET Technology Skills 30.2,1,Software Quality Assurance Analysts and Testers
acronis_recovery_expert,Acronis Recovery Expert,Backup or archival software,false,false,O*NET Technology Skills 30.2,2,Database Administrators; Database Architects
act_premium,ACT! Premium,Customer relationship management CRM software,false,false,O*NET Technology Skills 30.2,1,Computer and Information Systems Managers
actano_rplan,Actano Rplan,Project management software,false,false,O*NET Technology Skills 30.2,1,Information Technology Project Managers
active_directory,Active directory,Internet directory services software,true,true,O*NET Technology Skills 30.2,12,Computer Network Architects; Computer Network Support Specialists; Computer Systems Analysts; Computer Systems Engineers/Architects; Computer User Support Specialists; Digital Forensics Analysts; Information Security Analysts; Information Security Engineers; Network and Computer Systems Administrators; Penetration Testers; Software Developers; Web Administrators
actuate_eclipse_birt,Actuate Eclipse BIRT,Data base reporting software,false,false,O*NET Technology Skills 30.2,1,Business Intelligence Analysts
ada,Ada,Development environment software,false,false,O*NET Technology Skills 30.2,5,Computer Programmers; Computer Systems Analysts; Computer and Information Research Scientists; Software Developers; Software Quality Assurance Analysts and Testers
adaptive_metadata_manager,Adaptive Metadata Manager,Metadata management software,false,false,O*NET Technology Skills 30.2,1,Data Warehousing Specialists
adeptia_etl_suite,Adeptia ETL Suite,Development environment software,false,false,O*NET Technology Skills 30.2,2,Data Warehousing Specialists; Database Architects
