Code,Occupation,Categories
13-2011.00,Accountants and Auditors,Rapid Growth; Numerous Job Openings
15-2011.00,Actuaries,Rapid Growth
29-1291.00,Acupuncturists,Rapid Growth
29-1141.01,Acute Care Nurses,Rapid Growth; Numerous Job Openings
11-3012.00,Administrative Services Managers,Rapid Growth
29-1141.02,Advanced Practice Psychiatric Nurses,Rapid Growth; Numerous Job Openings
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Rapid Growth
17-2011.00,Aerospace Engineers,Rapid Growth
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Rapid Growth
17-2021.00,Agricultural Engineers,Rapid Growth
45-2091.00,Agricultural Equipment Operators,Rapid Growth
53-1041.00,Aircraft Cargo Handling Supervisors,Rapid Growth
53-6032.00,Aircraft Service Attendants,Rapid Growth
39-3091.00,Amusement and Recreation Attendants,Numerous Job Openings
29-1071.01,Anesthesiologist Assistants,Rapid Growth
39-2021.00,Animal Caretakers,Rapid Growth
19-1011.00,Animal Scientists,Rapid Growth
39-2011.00,Animal Trainers,Rapid Growth
29-1129.01,Art Therapists,Rapid Growth
51-2099.00,"Assemblers and Fabricators, All Other",Numerous Job Openings
27-2021.00,Athletes and Sports Competitors,Rapid Growth
29-9091.00,Athletic Trainers,Rapid Growth
29-1181.00,Audiologists,Rapid Growth
49-2097.00,Audiovisual Equipment Installers and Repairers,Rapid Growth
17-2141.02,Automotive Engineers,Rapid Growth
49-2091.00,Avionics Technicians,Rapid Growth
51-3011.00,Bakers,Rapid Growth
35-3023.01,Baristas,Rapid Growth; Numerous Job Openings
35-3011.00,Bartenders,Rapid Growth; Numerous Job Openings
19-1021.00,Biochemists and Biophysicists,Rapid Growth
17-2031.00,Bioengineers and Biomedical Engineers,Rapid Growth
25-1042.00,"Biological Science Teachers, Postsecondary",Rapid Growth
15-2041.01,Biostatisticians,Rapid Growth
15-1299.07,Blockchain Engineers,Rapid Growth; New and Emerging
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Numerous Job Openings
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Rapid Growth; Numerous Job Openings
13-1199.04,Business Continuity Planners,Numerous Job Openings
15-2051.01,Business Intelligence Analysts,Rapid Growth
13-1199.00,"Business Operations Specialists, All Other",Numerous Job Openings
25-1011.00,"Business Teachers, Postsecondary",Rapid Growth
13-1021.00,"Buyers and Purchasing Agents, Farm Products",Rapid Growth
17-3028.00,Calibration Technologists and Technicians,Rapid Growth
43-5011.00,Cargo and Freight Agents,Rapid Growth
47-2031.00,Carpenters,Rapid Growth
17-1021.00,Cartographers and Photogrammetrists,Rapid Growth
41-2011.00,Cashiers,Numerous Job Openings
35-1011.00,Chefs and Head Cooks,Rapid Growth
19-2031.00,Chemists,Rapid Growth
39-9011.00,Childcare Workers,Numerous Job Openings
29-1011.00,Chiropractors,Rapid Growth
27-2032.00,Choreographers,Rapid Growth
17-2051.00,Civil Engineers,Rapid Growth
19-3033.00,Clinical and Counseling Psychologists,Rapid Growth
15-2051.02,Clinical Data Managers,Rapid Growth
29-1141.04,Clinical Nurse Specialists,Rapid Growth; Numerous Job Openings
27-2022.00,Coaches and Scouts,Rapid Growth
49-9092.00,Commercial Divers,Rapid Growth
53-2012.00,Commercial Pilots,Rapid Growth
21-1099.00,"Community and Social Service Specialists, All Other",Rapid Growth
21-1094.00,Community Health Workers,Rapid Growth
